run_id,run_name,model,task,split,enable_sequences,run_no,train_set,val_set,test_sets,case_study/SetA/accuracy,case_study/SetA/component_evaluation/accuracy,case_study/SetA/component_evaluation/f1_score,case_study/SetA/component_evaluation/precision,case_study/SetA/component_evaluation/recall,case_study/SetA/event_evaluation/accuracy,case_study/SetA/event_evaluation/f1_score,case_study/SetA/event_evaluation/precision,case_study/SetA/event_evaluation/recall,case_study/SetA/f1_score,case_study/SetA/precision,case_study/SetA/recall,case_study/SetB/accuracy,case_study/SetB/component_evaluation/accuracy,case_study/SetB/component_evaluation/f1_score,case_study/SetB/component_evaluation/precision,case_study/SetB/component_evaluation/recall,case_study/SetB/event_evaluation/accuracy,case_study/SetB/event_evaluation/f1_score,case_study/SetB/event_evaluation/precision,case_study/SetB/event_evaluation/recall,case_study/SetB/f1_score,case_study/SetB/precision,case_study/SetB/recall,case_study/SetC/accuracy,case_study/SetC/component_evaluation/accuracy,case_study/SetC/component_evaluation/f1_score,case_study/SetC/component_evaluation/precision,case_study/SetC/component_evaluation/recall,case_study/SetC/event_evaluation/accuracy,case_study/SetC/event_evaluation/f1_score,case_study/SetC/event_evaluation/precision,case_study/SetC/event_evaluation/recall,case_study/SetC/f1_score,case_study/SetC/precision,case_study/SetC/recall,case_study/SetD/accuracy,case_study/SetD/component_evaluation/accuracy,case_study/SetD/component_evaluation/f1_score,case_study/SetD/component_evaluation/precision,case_study/SetD/component_evaluation/recall,case_study/SetD/event_evaluation/accuracy,case_study/SetD/event_evaluation/f1_score,case_study/SetD/event_evaluation/precision,case_study/SetD/event_evaluation/recall,case_study/SetD/f1_score,case_study/SetD/precision,case_study/SetD/recall,case_study/accuracy/SetA_accuracy,case_study/accuracy/SetB_accuracy,case_study/accuracy/SetC_accuracy,case_study/accuracy/SetD_accuracy
wbb49n3m,mlp|seq|m|r|10,mlp,Multiclass,Random split,True,10,SetD,SetC,"SetA,SetB",,0.7929345769427687,0.36808928508101474,0.38509528496819073,0.4075262832348296,,,,,,,,,0.9506692307692308,0.6262069436485082,0.5697367015499466,0.7314850413903514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7929345769427687,0.9506692307692308,0.9350846153846154,0.958637213595344
b6at2bej,mlp|seq|b|r|11,mlp,Binary,Random split,True,11,SetD,SetC,"SetA,SetB",,0.6631940579806929,0.4411128789744156,0.4841783702660167,0.4551065390576107,,,,,,,,,0.9748769230769232,0.8550775878918487,0.8158942188371798,0.9072252487387892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6631940579806929,0.9748769230769232,0.9550615384615384,0.970162610185389
171ljjbc,mlp|seq|m|t|10,mlp,Multiclass,Time split,True,10,SetD,SetC,"SetA,SetB",,0.6653310479412922,0.32708590018536315,0.344247804654112,0.3695478343346253,,,,,,,,,0.9715,0.6928522581465978,0.7495394610130514,0.7386102614188613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6653310479412922,0.9715,0.9530692307692308,0.9610928192625732
z592f87s,mlp|seq|m|rsd|10,mlp,Multiclass,Random with same distribution,True,10,SetD,SetC,"SetA,SetB",,0.6863299423457917,0.3715411028779097,0.623903415585168,0.34537584238461055,,,,,,,,,0.9704846153846154,0.6230379458042042,0.824347977058851,0.6851690280743998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6863299423457917,0.9704846153846154,0.9550307692307692,0.9601834313172188
u829wysn,mlp|seq|b|rsd|11,mlp,Binary,Random with same distribution,True,11,SetD,SetC,"SetA,SetB",,0.6431820374121645,0.4419157522794739,0.49089323272758634,0.47270652553515824,,,,,,,,,0.9675307692307692,0.8333888668859546,0.7750238396919422,0.9312163426889816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6431820374121645,0.9675307692307692,0.9436307692307692,0.9894213800986126
sp88z68c,mlp|seq|b|t|11,mlp,Binary,Time split,True,11,SetD,SetC,"SetA,SetB",,0.6114536725804895,0.4235598887544717,0.4838192758334221,0.44933511229960055,,,,,,,,,0.9484,0.7750252958777251,0.7108538928891786,0.923038179151986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6114536725804895,0.9484,0.9311846153846154,0.987586169077611
d702r9v2,mlp|seq|m|r|11,mlp,Multiclass,Random split,True,11,SetD,SetC,"SetA,SetB",,0.5959456551580853,0.2913115114704037,0.33097989610562195,0.3733229584465625,,,,,,,,,0.8711923076923077,0.3562704475644091,0.3644219925182932,0.435022869609925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5959456551580853,0.8711923076923077,0.8759153846153847,0.9797107617849748
2zrj4p9i,mlp|seq|m|t|11,mlp,Multiclass,Time split,True,11,SetD,SetC,"SetA,SetB",,0.6791769620610081,0.37539350321821585,0.41509243747043345,0.37057880529887455,,,,,,,,,0.9651846153846154,0.602214755631063,0.5719810841407752,0.6437832872207315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6791769620610081,0.9651846153846154,0.9533769230769232,0.9619062416458553
eajvjb2n,mlp|seq|m|rsd|11,mlp,Multiclass,Random with same distribution,True,11,SetD,SetC,"SetA,SetB",,0.7341525128182297,0.37976321199786023,0.39158846276447035,0.39160850241464407,,,,,,,,,0.9650538461538462,0.6387155854594201,0.5931099673158993,0.7135676466570159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7341525128182297,0.9650538461538462,0.9521615384615384,0.9601582974795332
87713ig2,mlp|seq|b|r|12,mlp,Binary,Random split,True,12,SetD,SetC,"SetA,SetB",,0.6497785098947088,0.42928520035241224,0.47729636785435814,0.4344525790364191,,,,,,,,,0.9714923076923077,0.8397122885284312,0.796757383907162,0.8999380655429212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6497785098947088,0.9714923076923077,0.9536461538461538,0.9498339442780164
