model,cross_f1,best_src,worst_src,mean_abs,max_abs
XGBoost,0.5338,SetC,SetD,0.21,0.3213
LightGBM,0.545,SetC,SetD,0.1975,0.3302
LSTM,0.46,SetA,SetD,0.187,0.3242
RandomForest,0.5422,SetC,SetD,0.1803,0.2952
MLP,0.4923,SetC,SetD,0.1406,0.2539
RNN,0.5155,SetA,SetD,0.1332,0.2314
GRU,0.5258,SetA,SetD,0.13,0.2648
NN,0.43,SetA,SetC,0.1083,0.2529
kNN,0.4358,SetC,SetD,0.1,0.2058
LR,0.5296,SetA,SetD,0.0944,0.1742
SVM,0.397,SetC,SetD,0.0494,0.1362
