Rank,model,category,Case Study F1,Std,Standard F1,ΔF1
1,xgboost,Classical ML,0.5682,0.155,0.5338,0.0344
2,logistic-regression,Classical ML,0.5565,0.1899,0.5296,0.0269
3,lightgbm,Classical ML,0.5354,0.1632,0.545,-0.0096
4,random-forest,Classical ML,0.5178,0.1618,0.5422,-0.0244
5,rnn,Deep Learning,0.5033,0.1422,0.5155,-0.0122
6,gru,Deep Learning,0.503,0.1371,0.5258,-0.0228
7,nn,Deep Learning,0.4729,0.1696,0.43,0.0429
8,mlp,Deep Learning,0.4696,0.1203,0.4923,-0.0227
9,lstm,Deep Learning,0.4515,0.1531,0.46,-0.0085
10,knn,Classical ML,0.4412,0.1605,0.4358,0.0054
11,svm,Classical ML,0.4287,0.1416,0.397,0.0317
