task,split,SetA,SetB,SetC,SetD
Binary,Random split,0.8727,0.9749,0.9563,0.989
Binary,Time split,0.5842,0.9491,0.9103,0.9875
Multiclass,Random split,0.8162,0.9419,0.8701,0.9652
Multiclass,Time split,0.527,0.9164,0.7303,0.9566
