Rank,model,Mean F1 (overall)
1,gru,0.8318183567635835
2,lstm,0.8291067948319032
3,lightgbm,0.8105299191540328
4,xgboost,0.8088010214908427
5,random-forest,0.8071863654604587
6,rnn,0.7747750311491901
7,nn,0.7722111833010838
8,mlp,0.7720863865334919
9,knn,0.7605871849428358
10,logistic-regression,0.6967765567721464
11,svm,0.6779494833737202
