Rank,model,Mean F1
1,lightgbm,0.8717379909105786
2,xgboost,0.8698168287066446
3,random-forest,0.8650351774437941
4,gru,0.8395782425153697
5,rnn,0.8326606164207538
6,lstm,0.8291067948319032
7,knn,0.7833268760661546
8,nn,0.7722111833010838
9,mlp,0.7720863865334919
10,logistic-regression,0.7238594631863633
11,svm,0.6632091205849897
