Rank,model,Mean F1
1,random-forest,0.7493375534771234
2,lightgbm,0.749321847397487
3,xgboost,0.7477852142750407
4,knn,0.737847493819517
5,svm,0.6926898461624508
6,logistic-regression,0.6696936503579296
