Rank,model,category,train_set,val_set,mean_f1
1,lightgbm,Classical ML,SetC,SetA,0.6908
2,logistic-regression,Classical ML,SetA,SetC,0.6866
3,logistic-regression,Classical ML,SetA,SetD,0.6858
4,random-forest,Classical ML,SetB,SetA,0.6732
5,logistic-regression,Classical ML,SetA,SetB,0.6716
6,xgboost,Classical ML,SetB,SetA,0.6701
7,gru,Deep Learning,SetC,SetA,0.6661
8,rnn,Deep Learning,SetB,SetA,0.6618
9,xgboost,Classical ML,SetA,SetC,0.6446
10,catboost,Classical ML,SetB,SetA,0.6438
11,cnn,Deep Learning,SetB,SetA,0.6431
12,lightgbm,Classical ML,SetA,SetB,0.6365
13,cnn,Deep Learning,SetC,SetA,0.6331
14,gru,Deep Learning,SetB,SetA,0.6325
15,xgboost,Classical ML,SetA,SetB,0.6307
16,random-forest,Classical ML,SetA,SetB,0.629
17,lightgbm,Classical ML,SetB,SetA,0.6259
18,lightgbm,Classical ML,SetA,SetC,0.625
19,random-forest,Classical ML,SetA,SetC,0.6195
20,catboost,Classical ML,SetA,SetB,0.6159
21,catboost,Classical ML,SetA,SetC,0.6153
22,rnn,Deep Learning,SetA,SetB,0.6126
23,rnn,Deep Learning,SetB,SetD,0.6042
24,random-forest,Classical ML,SetB,SetD,0.5724
25,lightgbm,Classical ML,SetB,SetD,0.5678
26,rnn,Deep Learning,SetA,SetC,0.5672
27,gru,Deep Learning,SetA,SetB,0.5582
28,logistic-regression,Classical ML,SetB,SetD,0.5576
29,gru,Deep Learning,SetB,SetD,0.5565
30,xgboost,Classical ML,SetB,SetD,0.5563
31,xgboost,Classical ML,SetB,SetC,0.5435
32,logistic-regression,Classical ML,SetB,SetC,0.5433
33,random-forest,Classical ML,SetB,SetC,0.5415
34,xgboost,Classical ML,SetA,SetD,0.5413
35,lightgbm,Classical ML,SetB,SetC,0.5386
36,gru,Deep Learning,SetA,SetC,0.5348
37,random-forest,Classical ML,SetC,SetA,0.5339
38,logistic-regression,Classical ML,SetC,SetA,0.5297
39,logistic-regression,Classical ML,SetB,SetA,0.5291
40,lightgbm,Classical ML,SetA,SetD,0.5275
41,catboost,Classical ML,SetB,SetC,0.5249
42,random-forest,Classical ML,SetA,SetD,0.5185
43,cnn,Deep Learning,SetB,SetD,0.5163
44,catboost,Classical ML,SetB,SetD,0.5153
45,rnn,Deep Learning,SetA,SetD,0.4942
46,rnn,Deep Learning,SetB,SetC,0.474
47,catboost,Classical ML,SetA,SetD,0.4725
48,gru,Deep Learning,SetA,SetD,0.4712
49,cnn,Deep Learning,SetA,SetC,0.4666
50,cnn,Deep Learning,SetA,SetB,0.4482
51,cnn,Deep Learning,SetB,SetC,0.4477
52,cnn,Deep Learning,SetA,SetD,0.4271
53,gru,Deep Learning,SetB,SetC,0.4154
